CustomerID,Gender,Age,CityTier,AnnualIncome,MembershipLevel,TotalTransactions,AvgTransactionValue,SatisfactionScore,LoginFrequency,CartAbandonRate,IsChurned
C001,Male,29,Tier 1,540000,Gold,12,1200,5,18,12,No
C002,Female,34,Tier 2,380000,Silver,8,950,,15,18,Yes
C003,Male,22,Tier 3,,Silver,5,600,3,10,25,No
C004,Female,45,Tier 2,710000,Platinum,20,2000,4,30,5,No
C005,Female,37,Tier 1,610000,Gold,18,1500,4,28,10,Yes
C006,Male,51,Tier 3,430000,Silver,10,1100,3,14,14,No
C007,Male,28,Tier 1,460000,Gold,9,970,2,12,23,No
C008,Female,25,Tier 2,390000,Silver,7,890,,9,35,Yes
C009,Other,33,Tier 1,680000,Gold,22,2200,5,33,7,No
C010,Male,41,Tier 2,500000,Gold,13,1340,3,17,18,Yes
C011,Female,27,Tier 3,,Silver,6,700,2,11,30,No
C012,Male,36,Tier 1,650000,Platinum,19,1750,4,29,6,No
C013,Female,43,Tier 2,570000,Gold,11,1230,3,13,9,No
C014,Male,39,Tier 3,450000,Silver,8,950,4,12,17,Yes
C015,Male,23,Tier 1,360000,Silver,5,650,,8,29,Yes
C016,Female,30,Tier 2,490000,Gold,10,980,2,10,24,No
C017,Male,55,Tier 3,720000,Platinum,24,2400,5,32,4,No
C018,Female,44,Tier 2,520000,Gold,13,1250,3,15,11,No
C019,Male,31,Tier 1,600000,Gold,16,1400,4,27,8,No
C020,Other,26,Tier 3,400000,Silver,6,790,2,11,26,Yes
C021,Female,46,Tier 1,890000,Platinum,25,2600,5,35,3,No
C022,Male,50,Tier 2,,Gold,11,1100,3,16,15,Yes
C023,Male,24,Tier 3,370000,Silver,4,570,1,7,32,Yes
C024,Female,38,Tier 1,560000,Gold,12,1200,4,20,10,No
C025,Male,42,Tier 2,510000,Gold,13,1350,3,19,12,No
C026,Female,29,Tier 1,,Silver,5,690,3,9,27,Yes
C027,Male,48,Tier 3,740000,Platinum,21,2300,5,31,5,No
C028,Female,35,Tier 2,470000,Gold,10,990,2,13,20,Yes
C029,Male,40,Tier 1,590000,Gold,14,1500,,24,9,No
C030,Other,33,Tier 2,530000,Gold,11,1200,4,17,13,No
C031,Female,39,Tier 3,410000,Silver,7,860,3,12,22,Yes
C032,Male,32,Tier 1,610000,Gold,15,1450,4,26,11,No
C033,Female,36,Tier 2,550000,Gold,12,1240,4,21,13,No
C034,Male,27,Tier 3,380000,Silver,5,620,,10,31,Yes
C035,Male,52,Tier 1,820000,Platinum,23,2500,5,34,4,No
C036,Female,45,Tier 2,580000,Gold,13,1270,3,18,10,No
C037,Male,30,Tier 3,420000,Silver,7,880,2,13,21,Yes
C038,Other,29,Tier 1,490000,Gold,11,1100,3,15,14,No
C039,Female,47,Tier 2,730000,Platinum,22,2400,5,30,6,No
C040,Male,51,Tier 3,,Silver,9,950,3,14,16,Yes
C041,Male,26,Tier 1,400000,Silver,6,730,2,9,28,Yes
C042,Female,43,Tier 2,570000,Gold,13,1290,4,22,12,No
C043,Male,35,Tier 3,430000,Silver,8,910,,12,19,Yes
C044,Female,39,Tier 1,610000,Gold,15,1450,4,25,10,No
C045,Male,28,Tier 2,480000,Gold,10,1000,3,14,16,Yes
C046,Other,31,Tier 3,460000,Silver,7,860,3,11,23,Yes
C047,Female,49,Tier 1,780000,Platinum,24,2600,5,36,2,No
C048,Male,37,Tier 2,530000,Gold,12,1200,4,20,13,No
C049,Female,40,Tier 3,450000,Silver,9,950,2,13,18,Yes
C050,Male,33,Tier 1,580000,Gold,14,1400,4,23,9,No
